learning_rate,n_steps,gamma,gae_lambda,ent_coef,run_id,run_name,mean_reward,std_reward,training_time_s
0.001,20,0.95,0.95,0.0,8,a2c_run_08,249.029,0.0,385.9
0.0003,10,0.99,1.0,0.01,7,a2c_run_07,-28.396,0.414,324.3
0.0007,5,0.99,0.9,0.05,6,a2c_run_06,-221.497,9.975,438.9
0.0007,10,0.97,0.95,0.005,10,a2c_run_10,-718.126,21.613,401.8
0.0007,10,0.99,1.0,0.01,2,a2c_run_02,-1058.369,0.0,1245.5
0.001,5,0.99,0.95,0.0,3,a2c_run_03,-1736.92,0.0,636.2
0.0007,5,0.9,0.95,0.0,5,a2c_run_05,-2546.739,0.0,51722.8
0.0005,20,0.99,0.95,0.0,4,a2c_run_04,-3697.734,0.0,487.2
0.0007,5,0.99,1.0,0.0,1,a2c_run_01,-3987.058,0.0,556.7
0.0005,5,0.99,0.99,0.1,9,a2c_run_09,-4071.449,0.0,459.3
