run_id,run_name,learning_rate,buffer_size,gamma,batch_size,target_update_interval,exploration_fraction,mean_reward,std_reward,n_episodes_trained,training_time_s
4,dqn_run_04,0.0001,10000,0.9,32,1000,0.15,261.375,6.04,405,193.6
8,dqn_run_08,0.0005,20000,0.99,64,250,0.15,242.95,0.27,240,249.0
9,dqn_run_09,0.001,50000,0.99,128,1000,0.2,233.808,0.694,259,192.5
2,dqn_run_02,0.0005,10000,0.99,32,1000,0.15,123.861,0.241,398,199.2
3,dqn_run_03,0.0001,50000,0.99,64,500,0.2,55.838,0.291,380,198.8
5,dqn_run_05,0.0001,10000,0.999,64,500,0.1,32.193,1.068,752,203.6
1,dqn_run_01,0.0001,10000,0.99,32,1000,0.15,19.872,0.458,357,215.9
6,dqn_run_06,0.0003,50000,0.99,128,500,0.2,8.684,7.215,299,191.2
7,dqn_run_07,0.0001,20000,0.95,32,1000,0.4,7.855,0.377,1427,226.3
10,dqn_run_10,0.0003,30000,0.97,64,750,0.12,-422.013,0.401,330,183.2
