run_id,run_name,learning_rate,gamma,entropy_coef,hidden_size,mean_reward,std_reward,n_episodes,training_time_s
8,reinforce_run_08,0.002,0.99,0.0,64,249.029,0.0,1041,199.0
7,reinforce_run_07,0.0005,0.99,0.01,128,1.513,1.656,1024,203.2
9,reinforce_run_09,0.001,0.999,0.0,64,-23.367,0.31,1022,195.6
2,reinforce_run_02,0.0005,0.99,0.0,64,-23.446,0.343,1066,204.3
4,reinforce_run_04,0.001,0.95,0.0,64,-25.764,0.805,1027,194.7
1,reinforce_run_01,0.001,0.99,0.0,64,-28.526,0.443,1029,195.5
10,reinforce_run_10,0.0005,0.97,0.01,128,-30.99,13.235,1024,201.4
5,reinforce_run_05,0.001,0.99,0.01,64,-96.582,6.287,1027,195.4
6,reinforce_run_06,0.001,0.99,0.05,128,-130.859,6.436,1026,201.9
3,reinforce_run_03,0.0001,0.99,0.0,64,-219.11,0.282,1062,201.2
